isBought,gender,education,house_val,MinAge,MaxAge,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
Yes,Female,High school,585411,46,55,Yes,E,Married,Yes,Others,Low,Owner,West,1,8
No,Male,Near high school,0,66,100,Yes,H,Married,No,Retired,Low,Owner,Midwest,5,6
No,Male,Bachelor,198728,56,65,Yes,B,Single,No,Professional,Medium,Owner,Midwest,1,9
No,Male,Some College,198717,26,35,Yes,C,Married,No,Blue Collar,Low,Owner,South,4,6
No,Male,High school,382546,46,55,Yes,B,Married,Yes,Sales/Service,Medium,Owner,West,3,6
Yes,Female,High school,67884,46,55,Yes,J,Married,No,Sales/Service,Low,Owner,South,4,5
Yes,Male,High school,167713,1,100,Yes,C,Married,No,Sales/Service,Low,Renter,South,3,6
Yes,Female,Bachelor,239800,26,35,No,E,Married,Yes,Professional,High,Owner,West,1,4
No,Female,Some College,227025,46,55,Yes,F,Married,Yes,Professional,Low,Owner,South,3,5
No,Female,High school,312830,66,100,No,D,Single,No,Retired,Low,Owner,South,1,1
Yes,Female,Some College,331677,1,25,Yes,C,Single,Yes,Professional,High,Owner,West,1,9
Yes,Male,High school,424228,1,100,Yes,C,Married,No,Professional,Low,Owner,West,2,7
Yes,Male,Bachelor,2145992,66,100,Yes,B,Married,No,Retired,Low,Owner,Northeast,1,3
Yes,Male,Graduated,760830,46,55,Yes,C,Married,No,Professional,Medium,Owner,South,1,11
No,Female,Some College,111180,56,65,Yes,I,Married,No,Professional,Low,Owner,Midwest,2,5
Yes,Female,Some College,306856,26,35,Yes,B,Married,No,Professional,High,Owner,South,2,10
No,Male,Some College,0,1,25,Yes,J,Single,No,Others,Low,Owner,South,3,5
Yes,Male,Graduated,0,36,45,Yes,E,Married,No,Professional,Low,Owner,West,3,9
Yes,Female,Graduated,184820,36,45,Yes,C,Married,Yes,Professional,Low,Owner,Midwest,1,6
Yes,Male,Bachelor,87200,26,35,No,F,Single,No,Sales/Service,Low,Renter,Midwest,9,4
Yes,Female,Bachelor,376943,36,45,Yes,C,Married,No,Professional,Medium,Owner,South,1,10
No,Female,High school,336243,46,55,Yes,B,Married,No,Sales/Service,Low,Owner,Northeast,2,5
No,Male,Unknown,0,1,100,No,G,Single,No,Others,Low,Renter,Rest,5,1
Yes,Male,Near high school,315882,66,100,Yes,C,Married,Yes,Retired,Medium,Owner,Midwest,1,6
No,Male,High school,0,46,55,No,J,Married,No,Blue Collar,Low,Owner,Midwest,8,2
Yes,Male,High school,457189,56,65,Yes,B,Married,No,Sales/Service,Low,Owner,Northeast,2,3
Yes,Female,Bachelor,121774,36,45,Yes,H,Single,No,Sales/Service,Low,Owner,South,1,7
No,Female,High school,0,1,100,Yes,G,Single,No,Sales/Service,Low,Renter,West,9,3
Yes,Male,Near high school,126516,66,100,Yes,I,Single,No,Retired,Low,Owner,South,4,3
No,Male,Graduated,230862,46,55,Yes,J,Single,No,Sales/Service,Low,Renter,Midwest,1,5
No,Female,High school,286942,46,55,Yes,C,Married,Yes,Professional,Medium,Owner,Northeast,1,11
No,Male,Some College,159314,36,45,Yes,D,Single,No,Others,Low,Owner,South,3,4
Yes,Male,Graduated,229761,26,35,No,C,Single,Yes,Professional,Medium,Owner,South,1,6
No,Female,High school,219744,26,35,Yes,I,Single,No,Professional,Low,Owner,West,2,5
Yes,Female,Near high school,238313,46,55,Yes,E,Single,Yes,Blue Collar,Medium,Owner,South,1,5
Yes,Male,Bachelor,170179,26,35,Yes,C,Married,Yes,Sales/Service,Medium,Owner,South,3,5
Yes,Male,Bachelor,105450,56,65,Yes,E,Married,Yes,Professional,Low,Owner,Midwest,5,8
Yes,Male,Graduated,463064,36,45,Yes,C,Married,Yes,Professional,High,Owner,South,1,7
Yes,Male,Bachelor,407932,1,25,Yes,C,Single,No,Sales/Service,Medium,Owner,South,7,6
Yes,Male,Some College,0,46,55,Yes,E,Single,Yes,Sales/Service,Low,Renter,South,5,7
Yes,Male,Some College,620482,36,45,Yes,G,Single,No,Professional,High,Owner,Northeast,1,4
Yes,Male,Graduated,108959,56,65,No,I,Married,No,Professional,Low,Owner,Midwest,8,4
No,Female,Some College,604514,1,100,No,B,Single,Yes,Sales/Service,High,Owner,West,1,9
Yes,Male,Graduated,408750,56,65,Yes,B,Married,Yes,Professional,High,Owner,Midwest,1,10
No,Female,Some College,322596,1,25,No,B,Single,No,Sales/Service,Medium,Owner,Northeast,2,5
No,Female,Near high school,160884,56,65,No,I,Single,No,Retired,Low,Owner,South,2,4
No,Female,High school,127039,1,100,No,G,Single,No,Blue Collar,Low,Renter,Midwest,9,1
Yes,Female,Some College,0,1,100,Yes,A,Single,No,Sales/Service,Low,Renter,West,9,1
No,Male,Some College,257911,1,100,No,G,Married,No,Blue Collar,Low,Renter,South,7,1
Yes,Female,Graduated,0,26,35,No,A,Married,No,Professional,Low,Owner,Midwest,3,6
No,Female,Bachelor,448440,46,55,Yes,C,Single,Yes,Sales/Service,Low,Owner,Midwest,6,6
No,Male,Some College,97010,56,65,Yes,E,Single,Yes,Sales/Service,Low,Owner,South,5,8
No,Female,High school,0,66,100,Yes,D,Married,No,Retired,Low,Renter,Midwest,7,7
No,Female,High school,103135,46,55,Yes,F,Single,No,Professional,Low,Owner,Midwest,4,3
No,Female,Some College,149387,1,100,Yes,C,Married,No,Sales/Service,Low,Owner,South,5,5
No,Female,Some College,373152,46,55,Yes,B,Married,No,Blue Collar,Low,Owner,West,3,6
No,Male,Some College,66963,36,45,No,E,Single,Yes,Blue Collar,Low,Renter,West,3,7
Yes,Female,Some College,77280,26,35,No,C,Married,Yes,Sales/Service,Low,Owner,Midwest,8,5
Yes,Female,High school,1717548,46,55,Yes,C,Married,Yes,Sales/Service,High,Owner,South,1,8
Yes,Female,Bachelor,235658,56,65,Yes,D,Married,No,Retired,Low,Owner,Northeast,3,6
No,Female,Bachelor,284577,46,55,Yes,B,Single,No,Professional,Low,Owner,West,2,8
Yes,Male,Near high school,2262622,1,100,No,A,Single,No,Professional,Low,Renter,Northeast,6,12
No,Female,Some College,277208,56,65,Yes,B,Married,No,Sales/Service,Low,Owner,Northeast,2,6
Yes,Male,Bachelor,376050,56,65,Yes,E,Married,No,Professional,High,Owner,Northeast,2,4
Yes,Male,Some College,363885,1,100,Yes,F,Single,No,Professional,Low,Renter,West,2,5
No,Female,Graduated,93833,56,65,No,D,Married,No,Professional,Low,Owner,South,1,5
Yes,Male,Bachelor,288141,46,55,Yes,A,Single,Yes,Sales/Service,Low,Renter,South,1,3
Yes,Female,Bachelor,149166,36,45,Yes,B,Single,No,Professional,High,Owner,South,3,6
Yes,Female,Some College,389130,46,55,Yes,B,Single,No,Professional,Low,Owner,West,2,9
Yes,Male,Some College,115823,26,35,No,F,Single,No,Blue Collar,Low,Owner,South,4,5
Yes,Female,Near high school,151262,1,100,No,E,Married,No,Sales/Service,Medium,Owner,Midwest,7,5
Yes,Female,High school,101544,36,45,Yes,E,Married,Yes,Blue Collar,Low,Owner,Midwest,5,5
Yes,Female,High school,185768,66,100,Yes,D,Married,No,Retired,Low,Owner,South,6,8
No,Male,Bachelor,174182,26,35,No,B,Single,No,Blue Collar,Medium,Owner,South,7,5
Yes,Female,Some College,293973,1,25,Yes,E,Single,No,Professional,Medium,Owner,South,2,6
Yes,Male,High school,296480,1,100,No,E,Married,Yes,Sales/Service,Medium,Owner,Northeast,3,5
Yes,Male,Some College,143117,26,35,Yes,C,Married,Yes,Sales/Service,Medium,Owner,South,2,6
No,Male,High school,0,56,65,Yes,I,Single,No,Blue Collar,Low,Owner,West,4,5
Yes,Male,Some College,543016,46,55,Yes,C,Married,Yes,Professional,Low,Owner,South,1,11
Yes,Female,Bachelor,85368,46,55,Yes,J,Married,No,Professional,Low,Owner,Midwest,1,5
No,Female,Some College,386132,46,55,Yes,C,Single,Yes,Professional,High,Owner,South,1,8
No,Male,High school,0,56,65,No,I,Single,No,Sales/Service,Low,Renter,Midwest,9,1
No,Male,High school,38080,46,55,Yes,G,Single,Yes,Blue Collar,Low,Renter,Midwest,3,4
No,Female,Some College,0,46,55,No,E,Married,No,Sales/Service,Low,Renter,West,8,5
Yes,Male,Graduated,273962,36,45,Yes,G,Single,No,Professional,Low,Renter,South,2,4
Yes,Male,Bachelor,56156,36,45,No,G,Single,Yes,Others,Low,Owner,South,3,5
No,Female,High school,461397,66,100,Yes,I,Single,No,Retired,Low,Owner,Northeast,6,3
Yes,Female,Some College,49311,46,55,Yes,I,Married,Yes,Professional,Low,Owner,Midwest,6,5
No,Female,High school,178760,36,45,No,F,Married,Yes,Professional,Low,Owner,South,3,4
Yes,Male,Some College,508075,36,45,Yes,I,Married,No,Professional,High,Owner,Rest,3,6
Yes,Male,Some College,376564,46,55,Yes,B,Married,Yes,Sales/Service,Medium,Owner,South,2,7
No,Female,Graduated,175477,56,65,Yes,G,Single,Yes,Professional,Low,Renter,South,1,3
No,Male,Some College,247212,26,35,No,E,Single,Yes,Blue Collar,Low,Owner,South,4,2
No,Male,Near high school,219918,66,100,Yes,I,Single,No,Retired,Low,Owner,South,2,6
Yes,Male,Bachelor,497040,66,100,Yes,B,Married,No,Professional,Low,Owner,West,1,11
Yes,Female,Bachelor,439706,46,55,Yes,C,Married,Yes,Professional,High,Owner,South,1,10
Yes,Male,Graduated,635688,56,65,Yes,B,Married,No,Professional,High,Owner,Northeast,2,11
No,Female,Bachelor,850200,46,55,Yes,D,Married,No,Professional,Low,Owner,West,1,12
No,Male,Unknown,319086,1,100,No,A,Single,No,Sales/Service,Low,Owner,West,8,6
No,Male,Near high school,281120,46,55,No,G,Single,Yes,Blue Collar,Low,Renter,South,5,4
No,Female,Some College,77433,1,100,No,I,Married,Yes,Sales/Service,Low,Owner,South,9,1
No,Male,Some College,162822,66,100,No,J,Single,No,Retired,Low,Owner,South,1,3
No,Female,Some College,434910,36,45,No,F,Married,Yes,Sales/Service,High,Owner,West,2,5
No,Male,Near high school,253065,1,100,No,E,Married,No,Professional,Low,Renter,South,2,3
No,Male,Bachelor,141865,56,65,No,E,Single,Yes,Blue Collar,Medium,Owner,West,4,5
No,Female,Near high school,48706,66,100,No,D,Single,No,Retired,Low,Renter,South,8,3
No,Female,Some College,339229,26,35,Yes,F,Married,Yes,Sales/Service,Low,Owner,West,8,4
Yes,Male,Some College,217782,56,65,Yes,B,Married,No,Sales/Service,Low,Owner,West,2,6
Yes,Male,Bachelor,786783,46,55,Yes,B,Married,No,Sales/Service,Medium,Owner,South,1,12
Yes,Male,Graduated,277208,46,55,Yes,B,Married,Yes,Professional,Low,Owner,Northeast,1,5
No,Male,High school,143117,46,55,Yes,E,Married,No,Retired,Medium,Owner,South,2,6
Yes,Female,High school,147477,66,100,Yes,I,Married,No,Professional,Low,Owner,South,2,4
Yes,Male,High school,163946,46,55,Yes,E,Single,Yes,Blue Collar,Low,Owner,Northeast,8,5
Yes,Male,Some College,363733,26,35,Yes,C,Married,No,Sales/Service,High,Owner,West,2,4
No,Female,High school,189910,66,100,Yes,D,Married,No,Sales/Service,Low,Owner,Midwest,4,5
No,Female,Some College,328744,66,100,No,C,Single,Yes,Retired,High,Owner,West,2,5
Yes,Male,High school,168950,46,55,Yes,B,Married,No,Blue Collar,Low,Owner,South,7,5
Yes,Male,High school,401987,26,35,No,F,Married,No,Professional,Low,Renter,West,6,6
No,Female,Near high school,316645,1,100,No,B,Married,No,Professional,Low,Owner,South,6,6
No,Female,Some College,0,46,55,No,B,Single,No,Professional,Low,Owner,Midwest,2,7
Yes,Male,Graduated,369837,46,55,Yes,C,Married,Yes,Professional,High,Owner,South,2,7
Yes,Male,Graduated,479480,26,35,Yes,C,Married,Yes,Professional,Low,Renter,South,6,6
Yes,Male,Bachelor,79252,66,100,Yes,J,Single,No,Retired,Low,Owner,Midwest,7,5
No,Male,Graduated,1908590,1,100,No,A,Single,No,Professional,High,Owner,West,7,6
No,Male,Bachelor,0,36,45,No,E,Single,No,Blue Collar,Low,Renter,Midwest,6,7
No,Male,Some College,75667,26,35,No,F,Single,No,Sales/Service,Low,Owner,Midwest,2,5
No,Male,Some College,171360,1,25,No,I,Single,No,Blue Collar,Low,Owner,South,8,3
Yes,Male,Some College,280457,26,35,Yes,F,Single,Yes,Sales/Service,Low,Renter,West,2,2
Yes,Female,Bachelor,0,56,65,Yes,G,Single,No,Professional,Low,Renter,Northeast,1,9
Yes,Female,High school,296480,46,55,Yes,E,Married,Yes,Professional,Low,Owner,Midwest,3,6
Yes,Male,Some College,83112,66,100,Yes,J,Married,Yes,Blue Collar,Low,Owner,South,8,4
Yes,Female,High school,256825,36,45,Yes,F,Married,Yes,Professional,Medium,Owner,West,5,5
Yes,Male,High school,199565,1,100,No,F,Married,Yes,Blue Collar,Low,Renter,West,9,4
No,Female,Near high school,136751,66,100,No,D,Married,No,Retired,Low,Owner,West,8,3
No,Female,High school,258875,56,65,Yes,C,Single,Yes,Blue Collar,Medium,Owner,South,3,6
Yes,Male,High school,321157,46,55,Yes,C,Married,Yes,Blue Collar,Low,Owner,South,6,6
No,Male,High school,0,1,25,No,G,Single,No,Sales/Service,Low,Renter,Northeast,9,5
No,Female,Near high school,33330,46,55,Yes,J,Single,Yes,Blue Collar,Low,Renter,South,7,4
No,Female,High school,1500000,1,100,Yes,A,Married,No,Sales/Service,Low,Owner,Midwest,8,4
No,Female,Some College,515482,46,55,Yes,C,Married,Yes,Professional,High,Owner,West,1,7
Yes,Male,Graduated,413622,1,100,Yes,B,Single,No,Sales/Service,Low,Owner,South,1,9
No,Male,Bachelor,496822,26,35,Yes,B,Single,No,Others,Low,Owner,West,1,9
No,Female,High school,610672,56,65,No,E,Single,No,Professional,Low,Renter,Northeast,2,1
No,Male,Near high school,0,1,100,No,G,Single,No,Blue Collar,Low,Renter,South,5,4
No,Female,Bachelor,345748,26,35,Yes,B,Married,No,Professional,High,Owner,South,2,7
No,Female,High school,192603,26,35,Yes,E,Single,Yes,Sales/Service,Medium,Owner,Northeast,4,8
No,Female,High school,274767,1,100,Yes,E,Single,No,Sales/Service,Low,Owner,South,2,6
Yes,Male,Some College,498542,46,55,No,B,Married,Yes,Professional,High,Owner,South,1,11
Yes,Male,High school,59677,36,45,Yes,F,Married,Yes,Sales/Service,Low,Owner,Northeast,6,5
Yes,Female,Bachelor,213541,36,45,No,G,Single,No,Sales/Service,Low,Renter,South,8,5
No,Female,Near high school,62130,66,100,No,D,Married,No,Retired,Low,Owner,South,8,1
Yes,Male,Near high school,170258,26,35,Yes,C,Married,Yes,Professional,Medium,Owner,Midwest,5,6
No,Male,High school,67387,46,55,No,F,Married,Yes,Blue Collar,Low,Renter,South,9,6
No,Female,Bachelor,519930,66,100,Yes,B,Single,No,Sales/Service,High,Owner,West,1,12
Yes,Male,Some College,0,36,45,Yes,E,Married,Yes,Blue Collar,Low,Owner,Rest,3,5
No,Female,High school,5000,66,100,No,J,Married,Yes,Retired,Low,Renter,South,8,3
No,Female,Unknown,691106,46,55,No,B,Single,No,Professional,Low,Renter,West,1,6
No,Female,Bachelor,0,1,100,No,F,Single,No,Sales/Service,Low,Renter,West,8,1
No,Male,Some College,529576,46,55,Yes,E,Married,No,Sales/Service,High,Owner,West,2,5
No,Female,Near high school,381805,36,45,No,F,Married,Yes,Sales/Service,Low,Owner,Northeast,3,6
No,Male,Some College,171236,1,100,No,E,Single,Yes,Professional,Low,Owner,South,3,5
Yes,Male,Some College,266221,66,100,Yes,E,Married,No,Retired,Low,Owner,Midwest,3,5
Yes,Male,Bachelor,380039,46,55,Yes,C,Married,No,Sales/Service,Medium,Owner,South,1,10
No,Male,Near high school,47611,1,100,No,D,Single,No,Blue Collar,Low,Renter,Northeast,8,5
Yes,Male,Some College,160093,26,35,Yes,F,Single,No,Sales/Service,Low,Owner,West,2,2
Yes,Female,Bachelor,257436,26,35,Yes,B,Married,Yes,Professional,Medium,Owner,West,3,7
No,Female,High school,104234,1,100,Yes,F,Married,Yes,Others,Low,Owner,Midwest,5,5
Yes,Male,Graduated,478095,46,55,Yes,B,Married,No,Professional,Low,Owner,West,1,9
Yes,Male,Near high school,0,1,100,No,E,Single,Yes,Blue Collar,Low,Renter,South,9,4
Yes,Male,High school,664235,66,100,No,B,Married,No,Retired,Low,Owner,South,1,1
Yes,Male,Near high school,0,26,35,No,G,Single,Yes,Blue Collar,Low,Renter,West,6,5
Yes,Female,Some College,0,46,55,Yes,G,Married,Yes,Sales/Service,Low,Renter,Northeast,3,8
Yes,Male,High school,380137,46,55,Yes,B,Married,No,Professional,Medium,Owner,West,3,9
Yes,Female,Some College,65182,26,35,Yes,F,Married,Yes,Blue Collar,Low,Owner,West,8,4
Yes,Male,Graduated,488320,56,65,Yes,B,Married,No,Professional,High,Owner,Midwest,2,7
No,Female,Near high school,156567,56,65,Yes,B,Married,No,Sales/Service,Low,Owner,Midwest,1,7
Yes,Female,Bachelor,314029,36,45,Yes,A,Single,Yes,Professional,Medium,Owner,South,1,7
Yes,Male,High school,80343,26,35,Yes,E,Married,No,Sales/Service,Low,Owner,Northeast,3,5
No,Male,Some College,166658,26,35,No,C,Married,Yes,Professional,Medium,Owner,South,1,5
No,Female,Graduated,588055,1,100,Yes,B,Married,No,Professional,High,Owner,Midwest,4,12
No,Male,Graduated,460974,26,35,Yes,C,Single,Yes,Blue Collar,High,Owner,South,1,6
No,Male,Near high school,109959,36,45,No,F,Married,Yes,Others,Low,Renter,West,9,4
No,Male,Bachelor,554940,26,35,Yes,E,Single,No,Sales/Service,Low,Renter,Midwest,1,4
No,Female,High school,0,46,55,No,J,Single,Yes,Blue Collar,Low,Owner,South,3,3
No,Male,Near high school,103005,56,65,Yes,F,Single,No,Others,Low,Renter,West,8,4
Yes,Female,Bachelor,0,56,65,Yes,B,Single,No,Professional,Low,Owner,West,1,11
Yes,Female,High school,214544,46,55,No,C,Single,Yes,Blue Collar,Low,Owner,West,9,7
Yes,Male,Bachelor,387188,46,55,Yes,C,Single,Yes,Sales/Service,High,Owner,South,2,5
No,Female,Unknown,0,1,100,No,J,Married,No,Sales/Service,Low,Renter,West,9,4
No,Female,Bachelor,413764,36,45,Yes,E,Single,Yes,Professional,High,Owner,Northeast,1,4
No,Male,Near high school,209650,1,100,No,G,Married,Yes,Sales/Service,Low,Renter,South,8,3
No,Male,Graduated,744579,56,65,Yes,B,Married,No,Professional,High,Owner,Northeast,2,8
Yes,Male,Bachelor,294823,46,55,Yes,E,Married,No,Sales/Service,Medium,Owner,West,7,6
Yes,Female,Some College,544320,1,100,No,A,Single,Yes,Sales/Service,Low,Renter,Northeast,5,4
Yes,Female,Bachelor,707945,1,100,Yes,J,Married,No,Sales/Service,Low,Owner,South,3,6
No,Female,Some College,0,46,55,Yes,G,Single,No,Professional,Low,Renter,West,9,6
Yes,Female,High school,310181,46,55,No,C,Married,Yes,Blue Collar,Medium,Owner,Midwest,5,6
Yes,Female,Some College,451785,26,35,Yes,E,Single,Yes,Professional,Low,Owner,South,1,3
No,Male,Near high school,0,26,35,No,E,Single,Yes,Blue Collar,Low,Renter,South,9,2
No,Female,High school,206010,1,100,No,E,Single,Yes,Sales/Service,Low,Owner,South,1,4
No,Female,Bachelor,1569828,66,100,No,D,Married,No,Professional,Low,Owner,South,1,3
No,Male,Some College,157727,26,35,Yes,J,Single,Yes,Professional,Low,Owner,Midwest,8,9
Yes,Male,High school,1364080,1,100,Yes,B,Married,No,Sales/Service,Low,Renter,Northeast,6,7
Yes,Male,Some College,403378,46,55,Yes,C,Married,Yes,Professional,High,Owner,South,1,7
No,Female,High school,339916,66,100,Yes,D,Married,No,Retired,Low,Owner,South,2,7
Yes,Male,Some College,158431,46,55,No,E,Married,No,Others,Low,Renter,South,1,5
Yes,Male,Some College,272227,36,45,No,F,Single,Yes,Sales/Service,Medium,Owner,South,2,3
Yes,Male,Graduated,300622,66,100,Yes,C,Married,Yes,Professional,Medium,Owner,Northeast,3,6
Yes,Female,Some College,185191,46,55,Yes,F,Married,No,Professional,Low,Owner,Northeast,1,1
No,Female,Graduated,0,1,100,No,E,Married,Yes,Others,Low,Renter,Northeast,2,11
Yes,Male,Graduated,399506,26,35,Yes,B,Single,No,Professional,Medium,Owner,West,1,8
No,Male,Some College,150234,1,25,Yes,E,Single,Yes,Blue Collar,Low,Owner,South,2,5
Yes,Male,Graduated,610400,1,100,No,B,Married,Yes,Sales/Service,High,Owner,West,7,5
No,Female,Bachelor,547528,36,45,Yes,C,Married,Yes,Sales/Service,High,Owner,South,2,8
No,Male,High school,0,1,100,No,E,Single,Yes,Blue Collar,Low,Renter,South,5,2
Yes,Female,Graduated,291160,46,55,Yes,B,Married,Yes,Professional,Medium,Owner,Northeast,2,7
No,Male,Some College,218237,36,45,Yes,J,Single,No,Blue Collar,Low,Owner,West,3,7
Yes,Male,High school,92780,46,55,No,F,Married,No,Blue Collar,Low,Owner,Midwest,5,3
No,Female,Bachelor,296981,26,35,Yes,B,Single,No,Sales/Service,Low,Owner,Midwest,6,3
No,Male,High school,0,36,45,Yes,F,Single,No,Blue Collar,Low,Owner,Midwest,7,3
No,Female,Near high school,0,46,55,No,J,Married,Yes,Professional,Low,Renter,Midwest,5,4
Yes,Male,Bachelor,0,46,55,Yes,J,Married,Yes,Professional,Low,Owner,South,3,5
Yes,Male,Bachelor,189810,46,55,Yes,C,Married,Yes,Sales/Service,Low,Owner,Midwest,1,7
Yes,Male,Bachelor,295728,46,55,Yes,C,Married,Yes,Sales/Service,Low,Renter,South,2,8
No,Female,Near high school,119059,26,35,No,G,Single,No,Sales/Service,Low,Owner,South,3,4
No,Female,Some College,318389,66,100,No,I,Single,No,Retired,Low,Owner,Northeast,1,1
Yes,Male,Bachelor,345210,36,45,No,B,Married,No,Sales/Service,Low,Owner,Northeast,1,7
Yes,Male,Graduated,405289,56,65,Yes,B,Married,No,Professional,High,Owner,Midwest,1,12
Yes,Female,Bachelor,0,56,65,Yes,U,Married,No,Professional,Low,Renter,Midwest,0,21
Yes,Male,Bachelor,79542,56,65,Yes,B,Married,Yes,Professional,Low,Owner,Midwest,2,7
No,Female,Graduated,0,66,100,Yes,D,Married,No,Retired,Low,Owner,Midwest,5,7
No,Female,High school,0,66,100,Yes,J,Married,No,Retired,Low,Owner,South,9,4
No,Male,Some College,0,1,100,No,E,Single,Yes,Blue Collar,Low,Renter,South,2,3
Yes,Male,Bachelor,465430,36,45,Yes,C,Married,Yes,Professional,High,Owner,Midwest,1,8
Yes,Female,High school,173255,66,100,Yes,E,Single,No,Retired,Low,Owner,Northeast,5,6
Yes,Female,Near high school,510120,56,65,Yes,B,Married,No,Sales/Service,Medium,Owner,Northeast,2,8
No,Male,High school,669478,56,65,Yes,B,Married,No,Sales/Service,Low,Owner,Northeast,2,9
No,Male,Near high school,0,1,100,No,E,Single,Yes,Sales/Service,Low,Renter,South,9,2
Yes,Female,Some College,0,1,25,Yes,C,Single,Yes,Professional,Low,Owner,Midwest,2,8
Yes,Male,High school,0,56,65,Yes,F,Married,No,Blue Collar,Low,Renter,Northeast,7,4
Yes,Male,Graduated,201432,26,35,Yes,E,Single,No,Professional,Low,Owner,South,7,5
No,Female,High school,128760,66,100,Yes,D,Single,No,Retired,Low,Owner,Midwest,3,3
Yes,Male,Near high school,524944,56,65,Yes,C,Married,Yes,Professional,Medium,Owner,South,1,8
Yes,Female,Some College,344614,46,55,Yes,B,Married,No,Professional,Low,Owner,South,4,6
Yes,Male,Bachelor,314475,46,55,Yes,E,Married,No,Professional,Low,Owner,South,2,11
Yes,Male,Some College,429688,1,100,Yes,B,Single,No,Sales/Service,Low,Owner,South,1,6
Yes,Male,Bachelor,953750,36,45,Yes,B,Married,Yes,Professional,Low,Owner,Northeast,2,12
No,Male,Near high school,188875,1,100,No,G,Single,No,Blue Collar,Low,Renter,Midwest,4,4
Yes,Female,High school,0,56,65,No,E,Single,No,Others,Low,Renter,West,2,4
No,Female,Some College,0,66,100,No,H,Married,No,Retired,Low,Owner,South,5,3
Yes,Male,Some College,145079,1,25,Yes,E,Single,Yes,Sales/Service,Low,Owner,Midwest,5,5
Yes,Female,Bachelor,593941,1,100,No,B,Single,Yes,Professional,High,Owner,West,1,6
Yes,Female,Some College,219968,46,55,Yes,E,Married,Yes,Professional,Low,Owner,South,3,3
Yes,Female,Near high school,94840,66,100,No,C,Single,No,Retired,Low,Owner,Midwest,2,6
Yes,Male,Bachelor,556881,46,55,Yes,C,Married,Yes,Professional,High,Owner,Northeast,1,7
Yes,Male,High school,131007,1,100,No,J,Married,Yes,Blue Collar,Low,Renter,South,5,4
Yes,Male,Graduated,448687,56,65,Yes,B,Married,Yes,Retired,Low,Owner,West,1,9
No,Male,High school,130800,46,55,Yes,J,Married,No,Blue Collar,Low,Owner,Midwest,7,5
No,Female,Graduated,123200,36,45,Yes,E,Married,Yes,Professional,Low,Owner,Midwest,1,4
Yes,Male,Graduated,280402,56,65,No,I,Married,No,Professional,Low,Renter,South,2,6
No,Male,Graduated,820116,36,45,Yes,B,Married,Yes,Professional,High,Owner,South,1,10
No,Male,Bachelor,477049,46,55,No,B,Married,No,Professional,High,Owner,Midwest,1,10
No,Male,Some College,152796,66,100,Yes,B,Single,Yes,Retired,Low,Owner,Midwest,4,2
Yes,Female,Graduated,0,1,100,No,G,Single,No,Sales/Service,Low,Renter,West,9,5
No,Female,High school,325201,46,55,Yes,F,Single,Yes,Professional,Low,Owner,West,2,7
Yes,Female,Bachelor,3268692,46,55,Yes,B,Married,Yes,Professional,Low,Owner,West,1,12
No,Female,Some College,310159,26,35,Yes,E,Single,No,Sales/Service,High,Owner,South,1,6
No,Female,Some College,146006,26,35,No,C,Married,Yes,Sales/Service,Low,Owner,South,3,5
No,Male,Some College,183926,36,45,Yes,C,Married,No,Sales/Service,Low,Owner,South,2,5
Yes,Female,Bachelor,223929,36,45,No,C,Married,Yes,Sales/Service,Low,Renter,Midwest,4,5
No,Male,Some College,201432,1,100,No,A,Single,No,Blue Collar,Low,Renter,South,8,6
No,Male,High school,0,1,100,Yes,E,Single,No,Blue Collar,Low,Renter,South,9,1
No,Male,Near high school,95293,36,45,No,G,Married,Yes,Farm,Low,Renter,South,9,1
Yes,Male,High school,0,66,100,Yes,D,Single,No,Retired,Low,Owner,West,2,1
Yes,Male,Some College,323512,46,55,Yes,B,Married,No,Professional,High,Owner,Midwest,1,11
No,Female,High school,315097,56,65,Yes,B,Single,No,Professional,Low,Owner,South,1,2
No,Female,High school,117720,66,100,Yes,J,Single,Yes,Retired,Low,Renter,South,6,6
No,Male,Near high school,0,1,100,No,G,Single,No,Sales/Service,Low,Renter,Midwest,8,2
No,Female,Near high school,32514,1,100,No,A,Single,Yes,Sales/Service,Low,Renter,South,6,1
No,Male,Unknown,5000,1,100,No,E,Single,Yes,Farm,Low,Renter,West,9,4
Yes,Male,Unknown,160546,26,35,Yes,C,Married,Yes,Blue Collar,Medium,Owner,Midwest,2,12
Yes,Male,Bachelor,248432,36,45,Yes,F,Married,No,Sales/Service,Low,Owner,South,2,1
No,Female,Bachelor,364452,1,100,Yes,C,Single,Yes,Professional,High,Owner,South,4,5
No,Female,High school,0,36,45,No,G,Single,Yes,Sales/Service,Low,Renter,Midwest,8,1
Yes,Male,Unknown,54064,1,100,Yes,F,Single,No,Others,Low,Owner,Midwest,4,4
No,Female,Near high school,0,36,45,No,E,Single,Yes,Professional,Low,Renter,Midwest,9,3
Yes,Female,Some College,265524,46,55,Yes,E,Single,Yes,Sales/Service,Low,Owner,Northeast,1,6
No,Female,Some College,172230,36,45,Yes,I,Married,No,Sales/Service,Low,Owner,West,2,9
Yes,Male,Some College,312830,36,45,Yes,C,Married,No,Sales/Service,High,Owner,Northeast,1,6
Yes,Male,Some College,751999,36,45,Yes,C,Single,Yes,Professional,High,Owner,Northeast,1,7
